,time,gid,bid,ratio,hk,dk,ak,result,hk_ratio_diff,dk_ratio_diff,ak_ratio_diff,hk_avg_1H,dk_avg_1H,ak_avg_1H
time,1.0,0.6755758024015674,-0.012904028637276741,0.05750429369755448,0.13831794977056042,0.05361114005007149,-0.05373613768478612,-0.016525836707612596,0.12804774838388971,0.03689215751759333,-0.07058863794978752,0.14135548849219376,0.04740239733859553,-0.08461598785788836
gid,0.6755758024015674,1.0,-0.005684393629808995,-0.02127255510379854,0.12113009017430534,-0.032442079344170975,-0.1190965494558059,0.002980313799434005,0.13566602476625333,-0.02793888362664131,-0.12093026628776699,0.1510553969967965,-0.027718015601133135,-0.14609180246237466
bid,-0.012904028637276741,-0.005684393629808995,1.0,-0.054779735598138694,-0.03732258705390217,-0.005950741655955155,-0.028013802751974213,0.0048621307880539096,-0.021653883990786122,0.015993419736481454,-0.016557820526424953,-0.010640663072054022,0.010550051533533564,-0.018660120631473823
ratio,0.05750429369755448,-0.02127255510379854,-0.054779735598138694,1.0,0.3387470256954216,0.4855088122511564,0.34927527325563146,-0.011468944808165238,0.0313686576055543,0.13518098021084593,0.13073588868037558,0.02282652898994094,0.020813785203272164,0.03557663179850414
hk,0.13831794977056042,0.12113009017430534,-0.03732258705390217,0.3387470256954216,1.0,0.14687953648647392,-0.4435041229468586,0.12205882361872969,0.9510405079921711,0.02586184027273778,-0.5501491737839119,0.8554137752992322,0.03160650228967482,-0.5884342154581716
dk,0.05361114005007149,-0.032442079344170975,-0.005950741655955155,0.4855088122511564,0.14687953648647392,1.0,0.4331049686886396,-0.023864627256345892,-0.0034511799977632865,0.9318386900535975,0.3423008730184627,0.02690619095625376,0.7390050020897777,0.30859855803800407
ak,-0.05373613768478612,-0.1190965494558059,-0.028013802751974213,0.34927527325563146,-0.4435041229468586,0.4331049686886396,1.0,-0.08454522471252846,-0.5858733726363059,0.34588879558455565,0.9746407480814554,-0.5562489861439406,0.32504843408663725,0.8015626294077149
result,-0.016525836707612596,0.002980313799434005,0.0048621307880539096,-0.011468944808165238,0.12205882361872969,-0.023864627256345892,-0.08454522471252846,1.0,0.13343227087557558,-0.02228677189586079,-0.08671438320766868,0.1477561605500866,-0.023727703219862225,-0.1026228703344877
hk_ratio_diff,0.12804774838388971,0.13566602476625333,-0.021653883990786122,0.0313686576055543,0.9510405079921711,-0.0034511799977632865,-0.5858733726363059,0.13343227087557558,1.0,-0.016931818141872532,-0.6273765644994784,0.9012203073252688,0.026738985370663444,-0.6367887202123239
dk_ratio_diff,0.03689215751759333,-0.02793888362664131,0.015993419736481454,0.13518098021084593,0.02586184027273778,0.9318386900535975,0.34588879558455565,-0.02228677189586079,-0.016931818141872532,1.0,0.33368539156119825,0.02101970148555953,0.8289207562538807,0.33498681462926533
ak_ratio_diff,-0.07058863794978752,-0.12093026628776699,-0.016557820526424953,0.13073588868037558,-0.5501491737839119,0.3423008730184627,0.9746407480814554,-0.08671438320766868,-0.6273765644994784,0.33368539156119825,1.0,-0.5939923893871606,0.3389478896833225,0.8395996816595374
hk_avg_1H,0.14135548849219376,0.1510553969967965,-0.010640663072054022,0.02282652898994094,0.8554137752992322,0.02690619095625376,-0.5562489861439406,0.1477561605500866,0.9012203073252688,0.02101970148555953,-0.5939923893871606,1.0,0.027908111211620144,-0.7058331960476877
dk_avg_1H,0.04740239733859553,-0.027718015601133135,0.010550051533533564,0.020813785203272164,0.03160650228967482,0.7390050020897777,0.32504843408663725,-0.023727703219862225,0.026738985370663444,0.8289207562538807,0.3389478896833225,0.027908111211620144,1.0,0.39956367428258766
ak_avg_1H,-0.08461598785788836,-0.14609180246237466,-0.018660120631473823,0.03557663179850414,-0.5884342154581716,0.30859855803800407,0.8015626294077149,-0.1026228703344877,-0.6367887202123239,0.33498681462926533,0.8395996816595374,-0.7058331960476877,0.39956367428258766,1.0
